,cust_id,transaction_type,transaction_date,subscription_type,customer_gender,age_group,customer_country,referral_type,price
0,1,initial,2020-09-01,BASIC,Male,35-44,Denmark,Missing referral type,33
1,2,initial,2022-03-01,BASIC,Other,18-24,Denmark,Missing referral type,53
2,3,REDUCTION,2022-02-01,BASIC,Other,25-34,Norway,facebook,53
3,4,initial,2022-05-01,PRO,Male,18-24,Sweden,Display,85
4,5,initial,2022-08-01,BASIC,Other,35-44,Sweden,Missing referral type,53
5,6,initial,2022-06-01,MAX,Other,55-65,Sweden,facebook,119
6,7,initial,2022-02-01,MAX,Other,25-34,Sweden,facebook,119
7,8,CHURN,2021-04-01,BASIC,Other,45-54,Sweden,facebook,43
8,9,UPGRADE,2021-07-01,MAX,Female,25-34,Sweden,facebook,109
9,10,initial,2022-09-01,MAX,Other,25-34,Finland,Missing referral type,119
10,11,UPGRADE,2022-01-01,MAX,Other,45-54,Norway,Organic Search,119
11,12,UPGRADE,2022-09-01,PRO,Male,25-34,Finland,Missing referral type,85
12,13,initial,2022-06-01,BASIC,Male,55-65,Norway,Missing referral type,53
13,14,UPGRADE,2020-07-01,PRO,Other,35-44,Norway,Missing referral type,65
14,15,initial,2022-06-01,PRO,Female,25-34,Norway,Missing referral type,85
15,16,UPGRADE,2022-11-01,MAX,Female,18-24,Norway,Organic Search,119
16,17,CHURN,2022-08-01,BASIC,Other,45-54,Denmark,Missing referral type,53
17,18,initial,2021-11-01,BASIC,Female,35-44,Denmark,Bing,43
18,19,REDUCTION,2022-10-01,BASIC,Male,25-34,Norway,Organic Search,53
19,20,initial,2022-11-01,PRO,Male,45-54,Finland,Google Ads,85
20,21,UPGRADE,2022-10-01,MAX,Other,55-65,Sweden,Organic Search,119
21,22,CHURN,2022-11-01,BASIC,Female,25-34,Finland,Missing referral type,53
22,23,REDUCTION,2021-05-01,PRO,Other,35-44,Sweden,facebook,75
23,24,REDUCTION,2022-04-01,PRO,Female,18-24,Denmark,facebook,85
24,25,REDUCTION,2022-08-01,BASIC,Other,35-44,Sweden,Google Ads,53
25,26,CHURN,2022-10-01,PRO,Other,35-44,Sweden,Paid Search,85
26,27,initial,2020-12-01,BASIC,Male,25-34,Finland,Google Ads,33
27,28,initial,2022-07-01,PRO,Male,55-65,Sweden,facebook,85
28,29,UPGRADE,2022-07-01,MAX,Female,55-65,Sweden,Missing referral type,119
29,30,,2022-10-01,BASIC,Male,45-54,Sweden,Bing,53
30,31,UPGRADE,2022-11-01,MAX,Other,35-44,Sweden,Google Ads,119
31,32,initial,2022-04-01,MAX,Female,45-54,Finland,Display,119
32,33,UPGRADE,2022-11-01,PRO,Male,18-24,Sweden,facebook,85
33,34,initial,2022-02-01,BASIC,Other,45-54,Norway,Paid Search,53
34,35,initial,2022-05-01,PRO,Male,18-24,Sweden,Paid Search,85
35,36,initial,2022-10-01,MAX,Other,45-54,Denmark,Google Ads,119
36,37,CHURN,2020-11-01,PRO,Female,35-44,Sweden,facebook,65
37,38,REDUCTION,2022-07-01,BASIC,Male,25-34,Finland,Missing referral type,53
38,39,CHURN,2022-07-01,MAX,Other,18-24,Sweden,Missing referral type,119
39,40,CHURN,2022-04-01,BASIC,Other,18-24,Denmark,facebook,53
40,41,REDUCTION,2022-10-01,BASIC,Other,35-44,Sweden,Missing referral type,53
41,42,initial,2021-06-01,BASIC,Female,25-34,Sweden,TV,43
42,43,REDUCTION,2021-10-01,PRO,Other,45-54,Sweden,Organic Search,75
43,44,REDUCTION,2022-08-01,BASIC,Other,18-24,Sweden,Paid Search,53
44,45,UPGRADE,2022-11-01,MAX,Female,55-65,Sweden,Missing referral type,119
45,46,UPGRADE,2022-03-01,MAX,Male,18-24,Sweden,Paid Search,119
46,47,UPGRADE,2021-06-01,MAX,Male,18-24,Sweden,Missing referral type,109
47,48,REDUCTION,2021-02-01,PRO,Other,55-65,Sweden,Missing referral type,75
48,49,initial,2022-09-01,MAX,Other,18-24,Sweden,Missing referral type,119
49,50,initial,2022-06-01,MAX,Other,55-65,Sweden,Missing referral type,119
50,51,CHURN,2022-07-01,BASIC,Female,18-24,Sweden,Missing referral type,53
51,52,REDUCTION,2022-06-01,PRO,Other,25-34,Denmark,Missing referral type,85
52,53,UPGRADE,2021-01-01,MAX,Female,25-34,Denmark,Missing referral type,109
53,54,initial,2022-07-01,PRO,Other,55-65,Sweden,TV,85
54,55,initial,2022-01-01,BASIC,Male,45-54,Sweden,Paid Search,53
55,56,UPGRADE,2022-04-01,MAX,Female,45-54,Finland,facebook,119
56,57,initial,2022-03-01,PRO,Other,35-44,Sweden,Paid Search,85
57,58,initial,2022-01-01,BASIC,Female,25-34,Norway,facebook,53
58,59,REDUCTION,2022-11-01,BASIC,Other,35-44,Norway,Paid Search,53
59,60,UPGRADE,2021-07-01,MAX,Male,45-54,Finland,facebook,109
60,61,initial,2022-06-01,PRO,Male,25-34,Sweden,Organic Search,85
61,62,CHURN,2022-07-01,MAX,Other,35-44,Sweden,Organic Search,119
62,63,REDUCTION,2020-11-01,PRO,Other,18-24,Denmark,facebook,65
63,64,REDUCTION,2020-04-01,PRO,Other,25-34,Sweden,facebook,65
64,65,UPGRADE,2022-11-01,MAX,Male,55-65,Denmark,Paid Search,119
65,66,REDUCTION,2022-04-01,BASIC,Male,35-44,Sweden,Organic Search,53
66,67,initial,2022-10-01,PRO,Male,55-65,Norway,Organic Search,85
67,68,REDUCTION,2022-04-01,BASIC,Female,45-54,Norway,Missing referral type,53
68,69,UPGRADE,2022-11-01,MAX,Male,55-65,Sweden,Missing referral type,119
69,70,initial,2022-07-01,PRO,Female,45-54,Sweden,Missing referral type,85
70,71,CHURN,2022-05-01,BASIC,Male,55-65,Denmark,Missing referral type,53
71,72,REDUCTION,2022-02-01,BASIC,Other,18-24,Finland,Missing referral type,53
72,73,initial,2022-05-01,PRO,Other,45-54,Norway,Missing referral type,85
73,74,initial,2022-08-01,MAX,Other,18-24,Finland,Missing referral type,119
74,75,initial,2021-07-01,BASIC,Male,18-24,Norway,facebook,43
75,76,REDUCTION,2022-11-01,BASIC,Male,25-34,Sweden,Missing referral type,53
76,77,UPGRADE,2021-11-01,PRO,Female,35-44,Sweden,facebook,75
77,78,UPGRADE,2022-02-01,MAX,Male,45-54,Sweden,Missing referral type,119
78,79,initial,2022-07-01,PRO,Male,18-24,Sweden,Missing referral type,85
79,80,REDUCTION,2022-07-01,BASIC,Female,18-24,Denmark,Organic Search,53
80,81,CHURN,2022-10-01,PRO,Female,45-54,Sweden,Missing referral type,85
81,82,initial,2022-09-01,BASIC,Female,18-24,Sweden,Paid Search,53
82,83,initial,2022-09-01,BASIC,Male,35-44,Norway,facebook,53
83,84,REDUCTION,2020-10-01,PRO,Female,45-54,Finland,Missing referral type,65
84,85,initial,2021-10-01,PRO,Male,55-65,Sweden,Organic Search,75
85,86,REDUCTION,2022-08-01,BASIC,Male,18-24,Norway,Missing referral type,53
86,87,REDUCTION,2020-06-01,BASIC,Other,25-34,Sweden,Missing referral type,33
87,88,initial,2022-06-01,BASIC,Male,25-34,Finland,Missing referral type,53
88,89,REDUCTION,2021-05-01,BASIC,Other,55-65,Sweden,Display,43
89,90,UPGRADE,2021-09-01,MAX,Male,55-65,Sweden,Missing referral type,109
90,91,REDUCTION,2021-09-01,BASIC,Other,18-24,Sweden,Organic Search,43
91,92,initial,2022-09-01,PRO,Female,35-44,Sweden,Organic Search,85
92,93,initial,2022-10-01,PRO,Male,55-65,Sweden,Missing referral type,85
93,94,initial,2022-11-01,PRO,Male,18-24,Denmark,Missing referral type,85
94,95,,2021-06-01,MAX,Male,45-54,Sweden,Missing referral type,109
95,96,REDUCTION,2022-10-01,PRO,Other,55-65,Norway,Missing referral type,85
96,97,initial,2022-05-01,MAX,Other,45-54,Sweden,Missing referral type,119
97,98,initial,2022-01-01,BASIC,Male,18-24,Denmark,Missing referral type,53
98,99,initial,2022-06-01,MAX,Other,35-44,Sweden,Missing referral type,119
99,100,initial,2022-08-01,BASIC,Male,25-34,Norway,Paid Search,53
100,101,UPGRADE,2022-08-01,PRO,Female,45-54,Norway,Missing referral type,85
101,102,initial,2022-12-01,PRO,Male,18-24,Sweden,Missing referral type,85
102,103,initial,2022-11-01,PRO,Male,55-65,Finland,Missing referral type,85
103,104,CHURN,2022-08-01,BASIC,Other,18-24,Sweden,Missing referral type,53
104,105,UPGRADE,2022-07-01,MAX,Male,18-24,Denmark,Paid Search,119
105,106,CHURN,2022-06-01,PRO,Other,55-65,Denmark,Display,85
106,107,REDUCTION,2022-07-01,PRO,Female,55-65,Norway,facebook,85
107,108,UPGRADE,2022-11-01,PRO,Other,45-54,Finland,Missing referral type,85
108,109,CHURN,2021-10-01,MAX,Male,55-65,Finland,Missing referral type,109
109,110,initial,2022-11-01,BASIC,Female,18-24,Norway,Missing referral type,53
110,111,CHURN,2022-08-01,MAX,Female,18-24,Denmark,Missing referral type,119
111,112,UPGRADE,2022-08-01,MAX,Other,25-34,Sweden,Paid Search,119
112,113,CHURN,2022-11-01,MAX,Other,45-54,Finland,Missing referral type,119
